sentence,Unigram,Bigram,Trigram,Quadrigram,Unigram_Add1,Bigram_Add1,Trigram_Add1,Quadrigram_Add1,Unigram_AddK,Bigram_AddK,Trigram_AddK,Quadrigram_AddK,Unigram_AddToken,Bigram_AddToken,Trigram_AddToken,Quadrigram_AddToken
हम हमारी आने वाली पीढ़ी को पर्यावरण की अमूल्य धरोहर के रूप में वृक्षों का भंडार देना चाहते है।,-150.0769020362057,-94.69208652545687,-35.52959207552977,-21.661985667057497,-150.4640636062756,-174.89401871741325,-201.46810805431667,-211.02172377914223,-150.27120687081765,-165.78234861029395,-192.23218191534608,-202.68224040097348,-227.07893651928504,-230.68931959323905,-231.0078514398313,-231.01876539796038
के ग्राम लालखेड़ा में शुक्रवार को और गोराडिया व कांझर में शनिवार को हाट बाजार लगे।,-130.39159977471806,-82.12359095765957,-36.57235625929709,-20.97721780785168,-129.1077285799549,-152.58977631039198,-175.6382058759724,-183.09553878439542,-129.61354975839572,-145.77706330094043,-168.28755022204993,-176.39599781983185,-192.23152274887306,-196.35052426580222,-196.3675267003412,-196.36881590928797
इस दौरान आइटीआइ अर्की में स्टॉफ सहित काफी संख्या में आइटीआइ के विद्यार्थी उपस्थित रहे।,-126.84740655193566,-70.2549725512079,-23.055837847647236,-15.415657442157466,-126.88739352206034,-140.12547866917203,-153.23968062613713,-159.88273105575294,-126.86233336463243,-133.1149797500398,-145.95987972395008,-153.15002545367116,-181.6956660030347,-184.7420901471285,-184.75833214359213,-184.75946744309599
पुलिस ने संचालक आरोपी नवीन सैनी के खिलाफ अवैध रूप से लाभ अर्जित कर विद्यार्थियों व शासन के साथ धोखाधड़ी करने का मामला दर्ज किया है।,-188.90381460605525,-112.25938495716333,-58.58964405861965,-23.871089300639785,-189.6640116191579,-207.89857155611492,-255.71815279955123,-271.4939688298153,-189.2870495843557,-194.36681705354152,-242.3075410418336,-259.2627620525017,-307.4559047643523,-311.41363086007414,-311.84687639609183,-311.86089633118996
गृहमंत्री राम सेवक पैकरा ने कई सरकारी डॉक्टरों और स्वास्थ्य विभाग के कर्मचारियों की एक टीम की ड्यूटी अपने बेटे की शादी में लगवा दी।,-185.90041370898115,-120.7716114309312,-61.54531930280814,-30.25805568952978,-186.50932758962955,-217.78044651429005,-263.6057575216922,-278.1682772597316,-186.20570992924323,-204.85766872764748,-250.94427185243129,-267.06357455342817,-295.48909482898983,-300.2951723709742,-300.32752965295543,-300.32887674534516
"इसमें पंजीकरण डेस्क पर बैठने वाला क्लर्क , सुरक्षा गार्ड और ओपीडी में बैठने वाले चिकित्सक शामिल हैं।",-146.57267887394855,-93.0869229941115,-32.814720980551606,-13.939750922347889,-147.0562233507148,-172.03422085742972,-194.80951459514347,-201.07972401592568,-146.81644751530172,-162.974691901504,-186.71271427259327,-193.55268121001495,-216.67034346585004,-219.3335744762176,-219.4600490124797,-219.46278847811038
"राज्यपाल ने पवित्र गुफा पर सेना , जम्मू कश्मीर पुलिस , सीआरपीएफ , बीएसएफ , एनडीआरएफ , एसडीआरएफ , माउंटेन रेस्क्यू टीम के अधिकारियों से अमरनाथ यात्रा की सुरक्षा के लिए किए प्रबंधों की भी जानकारी हासिल की।",-283.3478695740391,-186.67351058061968,-77.01820203861561,-36.06655981351936,-283.92891740112606,-337.32252304612257,-392.9052269267093,-413.860505545669,-283.6292370749652,-318.54469615379566,-373.6935281959953,-397.1760530845125,-442.5516210486372,-450.3089157057063,-450.4904426495222,-450.49259646715143
अक्सर में गलत एंटीबायोटिक ले लेते हैं जिसकी वजह से एंटीबायोटिक से बचाव वाले वैक्टिरिया हमारे शरीर में उत्पन्न होने लगते हैं और ये ही सुपरबग्स का रूप ले लेते हैं।,-245.15585412665152,-147.16591225831965,-61.59181191895477,-27.989226270257955,-244.60220556017183,-279.1765711336685,-327.1757719620942,-342.78734701332706,-244.76391099232157,-263.2374029676405,-312.0188011375396,-329.461098917327,-365.32604307948793,-369.4788772785207,-369.6336629487699,-369.6353947128951
मोनोअनसेच्युरेटिड और ओमेगा 3 जैसे फैटी एसिड्स का ज्यादा सेवन करना चाहिए बजाय कि सैचुरेटेड फैट के।,-165.25890962626946,-87.30200492245393,-24.254499255588755,-13.939750922347889,-164.11886492839108,-184.20735170281088,-194.9832045604861,-196.3034691995204,-164.590109681401,-176.49739169144553,-187.85416752053024,-189.4606244374822,-206.11576167861497,-207.91847124062085,-207.92007707265057,-207.92011555823652
युवती का कहना है कि वह 2009 में सवारी ट्रेवल्स कंपनी में नौकरी करती थी।,-114.65724098729746,-63.515314835805384,-34.34549787598855,-22.594091061214485,-114.72829040042424,-123.51265852882912,-148.73708100881788,-160.7555906334269,-114.67434413090149,-115.66551268206923,-140.7781406826806,-153.48637698371866,-181.71396663625637,-184.67967668167546,-184.7966189263494,-184.8090887847235
बैंकों में भीड़ कम करने के लिए खाता नम्बर के हिसाब से तिथि आवंटित की गयी है।,-122.81052194577441,-79.83351529729667,-40.0312108435865,-24.4383207657904,-123.31897852179732,-142.06530929944788,-172.57529446060667,-187.68366859125086,-123.06692906088927,-133.89363648277143,-164.08658150216095,-179.90474403340284,-203.3578851038504,-207.42935355362687,-207.8984683013469,-207.91923040527686
"अभी हाल में ही हुए लोकल इकाइयों , जिला पंचायत , तालुका , नगरपालिका , महानगर पालिका के 8 विधानसभा उपचुनावों के नतीजे भी हैरानी जनक हैं।",-210.7227484387749,-145.06957550450403,-48.84513115335872,-19.212750480911634,-211.2703261765332,-257.5978067733977,-291.52477974258034,-297.06243328737077,-210.99723025495737,-245.071656420698,-279.1175513098234,-285.3713450950665,-317.8886017762351,-323.29083683549925,-323.42852393246244,-323.42887029199244
आपकी जानकारी के लिए बता दें ये परीक्षा 564 पदों को भरने के लिए आयोजित हो रही है . इस रिक्रूटमेंट के लिए करीब 73792 कैंडिडेट्स ने अप्लाई किया था . हालांकि प्री परीक्षा देने के बाद अब 1393 कैंडिडेट्स बचे हैं जो मुख्य परीक्षा देंगे .,-355.3009989810989,-190.18719166130276,-100.7503078527027,-52.5714439750579,-354.83769307260707,-377.73557789801964,-461.216095964998,-496.60751635383514,-354.9462724092868,-353.9162175066718,-436.96903220205024,-474.5433232156775,-547.1112800722577,-553.7259573278988,-554.436700104616,-554.4512716965698
कुछ ही मिनट बाद दोबारा बिजली कड़कड़ाने की आवाज सुनी गई।,-94.3563233315499,-51.70251752897037,-24.498216389326462,-14.1628944736621,-94.0082147556451,-103.769104651065,-120.43641977558858,-123.03694481441977,-94.12481773775937,-97.72818168895839,-114.96824540554886,-118.07330974607132,-136.9356404820919,-138.5857628254485,-138.60889008478787,-138.6089766883347
इस दौरान अभिनेत्री जाह्नवी कपूर भी वहां मौजूद थीं।,-74.91081382312441,-37.67116732415147,-23.344848598542328,-13.652068849896109,-75.18894985383555,-78.400666381593,-92.64628887404686,-95.2453058717746,-75.05104065920432,-72.81342566444073,-87.93655160458238,-91.02197674785509,-114.24106854560382,-115.44538922052081,-115.45268966175009,-115.45278587469606
"हालांकि , इलियाना ने शादी की खबरों को सार्वजनिक रूप से कभी स्वीकार नहीं किया।",-107.90914954047638,-68.11497414828847,-40.614832147450755,-19.0901481588193,-108.34295527156203,-123.3996623635261,-152.7934778081913,-161.62011276080972,-108.12766218771309,-114.95965655893659,-144.66239099445187,-154.55715269937676,-181.54989711693128,-184.76676212672945,-184.8048883353011,-184.80590814769127
"मुख पृष्ठ > आजकी वार्ता > सर्वसामान्य तथा अन्य वार्ता > ओबामा के भारत आने से पाक बौखलाया , मीडिया ने मोदी को ‘ गधा ’ , ‘ कसाई ’ बताया",-263.2580724470427,-145.2706316817244,-55.989425176047014,-18.673753980178947,-262.80422329672183,-295.2335726607537,-330.574532488217,-335.89390784696155,-262.9785231391239,-279.02721463221326,-315.50070782896256,-321.3950738890875,-365.56862943589374,-369.6208402985427,-369.6342498209214,-369.63516370108766
"ऊना के तीन विस क्षेत्रों के बैलेट पेपर के मतों को गिनने के लिए एक ही स्कैन मशीन थी , जिसके चलते इन मतों की गिनती के लिए लंबा समय लग रहा था।",-248.45890363352618,-156.04526888061915,-74.5601078269371,-30.386827089258404,-249.177078182368,-287.0966805858491,-343.5317766024198,-363.6843442224606,-248.81909142076685,-271.24505765332447,-327.75574130041076,-349.36026320628486,-385.7538910124755,-392.3643935848129,-392.7279493008184,-392.73767646084065
उसके बाद आयुष्मान कार्ड बनाने के लिए गांव में कैम्प लगाया गया।,-89.08133857289981,-52.058230712162114,-31.897563130966223,-20.979192142155398,-89.44570517746322,-97.06429425261291,-121.22028819953024,-131.37768293132217,-89.26502274630796,-90.55053263952442,-114.75804929850577,-125.68327357150315,-147.55424825246394,-149.96509766034296,-150.1564781230511,-150.1598792620515
"संगीतकार सुरेश कर्नाटक ने राग हमीर में ठाड़े रहो घनश्याम . . . , कमल किशोर ने राग पहाड़ी में बहुत दिनन के रूठे श्याम . . . , राजेंद्र अधिकारी ने राग काफी में सैया तू प्रीत न जाने . . . , पिथौरागढ़ के ही प्रसिद्ध संगीतज्ञ संतोष साहनी फागुन के दिन चार . . . जंगला काफी में शंकर पंत ने हमारे बलम मोहे . . . , तुलसी प्रसाद जोशी में राग काफी में पैंलागू कर कर जोरी . . . , संजय जोशी ने जंगला काफी में रंग की गगर सारी डार गयो मोपे . . . , नारायण दत्त जोशी ने जंगला काफी में छोड़ो पिछौड़ी मेरी . . . , तरुण जोशी ने राग बागेश्री में कान्हा पर तन - मन वारुंगी . . . , गिरीश पंत ने मैं तो कोसूंगी कुंज बिहारी लाल . . . , सुनील पांडे ने राग रसिक में रंग डारी नंद के लालन . . . , लोहाघाट के रमेश जोशी ने राग बागेश्री में अंचरा पकड़ रस लीनो हो . . . , दिनेश बिष्ट ने राग पीलू में होली के खिलाड़ी छैला . . . होली गाकर दर्शकों को मुग्ध कर दिया।",-1608.701847064429,-926.7563183159957,-288.05371840261824,-126.78945904040123,-1597.7653910754216,-1820.6335463301468,-2027.1559845058189,-2132.865909232469,-1602.0563758993233,-1736.5314232745238,-1937.188862954641,-2048.2514840558824,-2262.7648700860204,-2297.6945946040364,-2298.4208840241395,-2298.670796256422
वह रोटी लेकर रेलवे फाटक के पास चली गई।,-73.45150929290286,-42.40457969117637,-22.317013913991243,-14.973824689878425,-73.72864554124752,-81.45113429513019,-96.87422069613164,-102.03722647217633,-73.59126022553289,-76.3517071524811,-92.01291322611691,-97.79321162868862,-113.74560670898933,-115.46801147058736,-115.50368891379942,-115.50412183575416
जब मुझे पता चला कि वह सीएए - एनआरसी विरोधी गतिविधियों में शामिल हो रही हो तो मैंने उसे मना किया और कहा कि पहले वह अपनी शिक्षा पूरी करे। ’ ’ पुलिस ने चिकमगलूर में कोप्पा स्थित अमूल्या के घर के बाहर सुरक्षा मुहैया कराई है क्योंकि कुछ लोगों ने वहां विरोध प्रदर्शन किया था।,-410.3631941524745,-245.0678972805823,-126.72290127706711,-56.51757335432891,-410.56866563570344,-457.334373638411,-561.9963659012516,-601.9799040542722,-410.3530189340699,-426.8719471251727,-532.6975630659174,-576.8907794570265,-651.4548925735999,-658.2102889382828,-658.3977060139122,-658.4079573144999
भारत सरकार ने हमारी काफी मदद की।,-52.194953410638405,-33.92644621098467,-20.23405592397929,-13.764546833322798,-52.445290065116204,-59.067088611850124,-73.04070587337552,-76.6764466191113,-52.321135420361706,-54.770115628622136,-68.96796840450642,-72.97623742856216,-91.07988125949932,-92.37351184572844,-92.40172020454726,-92.40218199103164
"श्राइन बोर्ड ने यात्रा मार्ग पर वाटर क्योस्क , रिवर्स वेंडिंग मशीन , इक्विड डंग मैनेजमेंट सेंटर , किल वेस्ट मशीन की स्थापना , संग्रह , परिवहन और कचरे के नियमित निपटान के साथ - साथ 1300 स्वच्छता कार्यकर्ताओं से इस मुकाम को हासिल किया है।",-382.4138822718434,-222.2705108927151,-70.98781496003153,-26.76114133874137,-381.3130458339502,-436.25264002393374,-487.2465868159485,-504.7173110949749,-381.7207178926005,-415.64074433811373,-466.44190097568105,-485.60582743080215,-534.8233038678878,-542.5059372787205,-542.8838703859153,-542.89968651922
"प्रधानमंत्री सड़क योजना की चर्चा में प्रधान हरिभजन ¨ सह पंवार , राजेश ने थत्यूड़ - दुगड्डा व थत्यूड बंगसील मोटर मार्ग में घटिया निर्माण का मामला उठाय।",-253.74150207098862,-122.86365953129636,-57.10408247582737,-17.117804752695832,-251.857674555422,-272.3828637075648,-306.4859213300212,-309.758766687398,-252.62791639369874,-258.7141404907272,-293.90722721689315,-297.9132153184304,-330.90571555413885,-334.9725440153556,-334.97974715301746,-334.9798433328894
गोखले पुणे के फर्ग्युसन कॉलेज के संस्थापक सदस्यों में से एक थे।,-94.17484228611936,-62.00121219569227,-30.042670317945277,-17.883272594835407,-94.18178340636763,-111.82927573199676,-132.4645401219438,-138.97156924564297,-94.16849055155512,-106.41677274184426,-126.56872536735398,-133.59016712365096,-146.54206667008685,-150.11614153301025,-150.16187824509404,-150.16442569628487
कार्यक्रम में प्रदेश महामंत्री कुलजीत सिंह चहल मौजूद थे।,-77.77437647836835,-38.335341280597554,-20.057447559598778,-14.568359581770261,-77.83534621125185,-81.43051232751735,-94.99855918789012,-101.20388240173503,-77.79983780333312,-76.34369697953728,-90.20137383085974,-97.04092171265722,-113.890545129049,-115.4723364696728,-115.50696863746722,-115.50860360851634
"मुस्लिम समाज में भी संयमित भाषा बोलने वालों को निराशा हाथ लगती है , कट्टरवाद को बढ़ावा मिलता है।",-154.7364202460008,-83.5819829250009,-48.68565094866245,-16.830122680244056,-154.83045698377265,-168.5550391502343,-207.64650306875592,-215.02395528568965,-154.77137842861615,-159.22868230784138,-198.6900123789198,-206.93218521300062,-227.336725628621,-230.6372943534819,-231.02077229984818,-231.02218554836804
जिसके बाद से कांग्रेस समर्थित छात्र संगठन एनएसयूआई द्वारा जनरल प्रमोशन दिए जाने की मांग उठाई जा रही है।,-150.56418357905514,-76.60598003068878,-34.734496228306426,-20.56470374576944,-151.05250779594266,-156.22416170847595,-184.89127902264218,-198.94190141547335,-150.8101353087905,-146.0680207859968,-174.9022038580203,-189.85559479852574,-228.5691056131411,-230.65550818418927,-230.98805316277912,-231.0107139459638
गाजीपुर . जनपद पुलिस के हाथ शुक्रवार को बड़ी सफलता आई।,-85.03742222085548,-62.141741669097094,-32.92846941773025,-16.242336015341937,-85.3880176236719,-105.51333228985855,-126.55037648028897,-129.54625205012005,-85.21420563260583,-99.95538166189085,-121.37969184136688,-124.89990539032938,-136.17932233137776,-138.5996071694469,-138.6132223670105,-138.61333774668847
समय सीमा पर मांगें पूरी नहीं होने पर पूर्व निर्धारित समय के अनुसार शुक्रवार को एचएमएस श्रमिक संगठन की ओर से राजमहल परियोजना के ओसीपी कार्यालय के हाजिरी घर के सामने धरना दिया गया।,-254.78964548972894,-144.29965453452147,-79.95628497776475,-36.7387514390428,-255.36546461326103,-280.4791725867961,-343.8905790964651,-368.51189583008926,-255.07262764021775,-262.41256534317137,-325.5356526135845,-352.60874658332114,-397.9515616331187,-404.1820309963274,-404.27282339385073,-404.28826409507303
यहां चिकित्सक ने प्राथमिक उपचार करने के बाद उसे घर भेज दिया।,-88.86811815390107,-50.484988251611476,-33.89297141856444,-22.224956884655306,-89.26401682002485,-95.7859641384565,-120.95816976863838,-133.3320318226141,-89.06770646773519,-88.71656095804674,-114.35704155483282,-127.58768645563268,-147.9254421817678,-150.04898710537063,-150.1529352552826,-150.15770143222608
फतेहपुर से 35 यात्रियों को लेकर प्रयागराज जा रही रोडवेज बस चालक ने थरियांव थाने के उसरैना हाईवे पर बाइक सवार प्लंबर को टक्कर मार दी।,-220.89265620476692,-113.08896509651012,-56.55614749183567,-17.71824253515151,-220.070727871588,-237.81688942876823,-279.91612556791085,-287.2270349662888,-220.36103671616917,-224.6450294507391,-267.64702724013415,-275.96547559618887,-308.1645627195878,-311.8228619100144,-311.8787815104664,-311.8795412561916
जबकि महाजन गंभीर रूप से घायल होने के बावजूद बच गए थे।,-92.01620003924482,-47.27616243791514,-29.058018518533604,-21.603940325254282,-92.39489748276173,-94.67344591562498,-116.75590995784512,-130.30030957473764,-92.20713320805629,-87.9507487787601,-109.99109550704047,-124.35773351602961,-147.95372317345826,-150.09349502233331,-150.1541903958892,-150.15963117929175
आयो नवल बसंत … । “ शिवरात्रि से खडी़ होली शुरू हो जाती है।,-129.108327733781,-61.728011871554216,-21.162485363865507,-13.315596613274895,-128.9573195730605,-135.40381210620288,-151.95828890437073,-158.52645803078528,-129.02073209144714,-128.612039375452,-145.4136974019662,-152.39562511642717,-171.5027361062209,-172.95056257466803,-173.26117438445567,-173.2658511435664
"नई दिल्लीः चुनाव आयोग ने 17 वीं लोकसभा के लिए 7 चरणों में मतदान की घोषणा कर दी है , ये मतदान 11 अप्रैल से 19 मई तक होंगे और फिर 23 मई को मतगणना होगी।",-259.6909817275313,-157.29582076412237,-88.99304608642439,-39.4635003794047,-260.79530270802417,-291.10339076394627,-361.81690489827844,-384.1720226542864,-260.2477230490548,-271.3143457399463,-342.6148587949865,-367.3376619171091,-421.7140101138019,-427.1374590959094,-427.3805471394973,-427.3831236571666
अभिनेता सलमान खान का आज जितने ज्यादा चुलबुले और तेज हैं।,-91.74386562061139,-53.99952291979625,-27.040241101731795,-16.445276859338627,-91.81238568328719,-103.42378824842196,-124.09401888546013,-128.18562193379356,-91.76930394693896,-97.43922010261065,-118.78129206811342,-123.50123168091237,-136.93148022517013,-138.48479060392268,-138.61285659142885,-138.61305868249235
दूसरे समुदाय के लोगों ने इसका विरोध करते हुए प्रधान की पिटाई कर दी।,-99.13990203601556,-60.91769352008404,-38.451229150753434,-25.498533683402908,-99.59888592482493,-110.62776048366307,-139.2901249736517,-155.05603726515827,-99.37128434141617,-102.42915860575971,-131.08980118930182,-148.1786107015197,-170.42510892977967,-173.2175030073708,-173.26201401077046,-173.26567796865842
